"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"WWH07-145AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.7","145","2","11","0.1","2.7","0","16.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH07-145AT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.7","145","2","11","0.1","2.7","0","16.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH07-145CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.7","145","2","11","0.1","2.7","0","16.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH07-145CT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.7","145","2","11","0.1","2.7","0","16.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-108ATV3-23","COOLENS","ObjectTelecentric","","0","0","0.3","11","0","0","0.75","108","0","11","0.5","1","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-108CTV3-23","COOLENS","ObjectTelecentric","","0","0","0.3","11","0","0","0.75","108","0","11","0.5","1","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","0.75","63","1","11","0.22","0.9","0","6","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","0.75","63","1","11","0.22","0.9","0","6","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","0.75","63","1","11","0.22","0.9","0","6","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-65AT-23","COOLENS","ObjectTelecentric","","0","0","0.15","11","0","0","0.75","65","1","11","0","0","0","0","false","COOLENS WWH 5MP telecentric official product list"
"WWH075-65CT-23","COOLENS","ObjectTelecentric","","0","0","0","11","0","0","0.75","65","1","11","0","0","0","0","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","108","0","11","0.1","0","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-108CTV3-23","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","108","0","11","0","0.9","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-130AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","130","2","11","0.1","1.6","0","12.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-130AT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","130","2","11","0.1","1.6","0","12.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-130CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","130","2","11","0.1","1.6","0","12.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-130CT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","130","2","11","0.1","1.6","0","12.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","65","1","11","0.1","1.3","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-65AT-23","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","65","1","11","0.1","0","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","65","1","11","0.1","1.3","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH08-65CT-23","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.8","65","1","11","0.1","0","0","10","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108-CZ3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","108","0","11","0.04","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1","108","0","11","0.04","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108ATV3-23","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1","108","0","11","0.05","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","108","0","11","0.04","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.04","11","0","0","1","108","0","11","0.05","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-108CTV3-23","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","108","0","11","0.04","0.6","0","7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-110AT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","110","2","11","0.1","0.9","0","10.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-110CT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","110","2","11","0.1","0.9","0","10.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-300AT-230V2","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","1","300","0","11","0.06","0.9","0","11","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-300CT-230V2","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","1","300","0","11","0.06","0.9","0","11","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-330AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","330","3","11","0.1","2.3","0","28.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-330CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","330","3","11","0.1","2.3","0","28.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-410AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","410","3","11","0.1","1.4","0","17.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-410CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","410","3","11","0.1","1.4","0","17.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-510AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","510","3","11","0.1","2.1","0","25.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-510CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","510","3","11","0.1","2.1","0","25.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","1","63","1","11","0.1","0.6","0","8","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-63ATV3-23","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","1","63","1","11","0.1","0.6","0","8","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","1","63","1","11","0.1","0.6","0","8","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","1","63","1","11","0.1","0.6","0","8","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-63CTV3-23","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","1","63","1","11","0.1","0.6","0","8","false","COOLENS WWH 5MP telecentric official product list"
"WWH10-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","1","65","1","11","0.1","0.9","0","11.1","false","COOLENS WWH 5MP telecentric official product list"
